instance_idx,instance,epsilon,runtime
7092,"[0.75713128 0.3111167  0.69473179 0.58566659 0.18011232 0.62650773
 0.97994673 0.21444234 0.38591683 0.11166816]",0.121,59.562090158462524
7093,"[0.23535804 0.99444961 0.21645591 0.56792501 0.30343858 0.42757192
 0.91303862 0.2730463  0.49530993 0.72277442]",0,51.89934539794922
7094,"[0.5601575  0.34899598 0.52605214 0.85782262 0.9697489  0.24360133
 0.62173413 0.86575675 0.65885307 0.38802029]",0.123,58.577465295791626
7095,"[0.99103296 0.95895889 0.27347958 0.2007582  0.12436797 0.76510615
 0.91741099 0.39051693 0.93722559 0.43042109]",0.17300000000000001,60.7520911693573
7096,"[0.87271361 0.82475653 0.46250754 0.12529539 0.88083632 0.12143515
 0.13624749 0.02449762 0.69748597 0.58744794]",0,51.86075758934021
7097,"[0.26297348 0.30225966 0.20862592 0.59252962 0.69396165 0.44786042
 0.10162432 0.29597064 0.97718031 0.64588819]",0.07300000000000001,58.882487297058105
7098,"[0.59929978 0.23733703 0.66141199 0.4754361  0.83992798 0.09905628
 0.54100643 0.39511972 0.95376462 0.58319122]",0,51.54877781867981
7099,"[0.85224461 0.05476045 0.02385357 0.92391655 0.38943014 0.05359596
 0.04791045 0.08020436 0.95842001 0.8190167 ]",0.121,81.91578602790833
7100,"[0.32670295 0.07379958 0.07041319 0.58541982 0.19252646 0.25792303
 0.25237848 0.77131606 0.62348661 0.51427002]",0.185,171.9303708076477
7101,"[0.04687878 0.73986694 0.51199379 0.65514856 0.19321731 0.85369443
 0.66600942 0.37546799 0.57296072 0.05123398]",0.027000000000000003,56.39534020423889
7102,"[0.81991858 0.8526974  0.47807131 0.19664215 0.93216775 0.07357637
 0.26369606 0.26239939 0.12486893 0.67626903]",0,50.79517841339111
7103,"[0.62812965 0.41269194 0.9010447  0.36280061 0.31700994 0.41899093
 0.60590841 0.1264452  0.0718217  0.99131497]",0.043000000000000003,56.372955322265625
7104,"[0.21332288 0.08161122 0.72723503 0.39763525 0.28742699 0.48069226
 0.0631305  0.62969311 0.9747475  0.22334432]",0.14100000000000001,471.3688771724701
7105,"[0.11636847 0.62779138 0.6075507  0.42356056 0.18927418 0.91306086
 0.60948921 0.06611761 0.8476167  0.43454541]",0,51.36994194984436
7106,"[0.57740517 0.06771981 0.57156517 0.22811597 0.17968487 0.34328941
 0.78839397 0.53366032 0.88551119 0.63506459]",0,51.65634560585022
