instance_idx,instance,epsilon,runtime
2179,[0.25624428 0.09521078 0.05874382],0.227,65.67703676223755
2180,[0.33288965 0.23479761 0.90861178],0.113,56.819995641708374
2181,[0.99683954 0.93940334 0.96762243],0.399,71.21918416023254
2182,[0.59828835 0.74828927 0.04549724],0.267,68.945725440979
2183,[0.25367529 0.61968245 0.30261184],0.033,64.36624693870544
2184,[0.39473073 0.37088157 0.96847079],0.015,62.45850896835327
2185,[0.55961243 0.58050452 0.26037657],0.165,67.87086176872253
2186,[0.50379262 0.93040674 0.87826794],0.315,67.65385699272156
2187,[0.13192456 0.31728822 0.53063393],0.17500000000000002,57.98468208312988
2188,[0.14180184 0.11677725 0.0441469 ],0.273,69.29937624931335
2189,[0.12787607 0.87174894 0.83515525],0.099,68.83873295783997
2190,[0.7478961  0.92631612 0.28302092],0.399,71.0531497001648
2191,[0.87702331 0.61295495 0.76188118],0.341,69.4749264717102
2192,[0.26377746 0.31298038 0.89304984],0.109,65.20108246803284
2193,[0.31556813 0.99465629 0.76399366],0.253,66.27441382408142
2194,[0.1512719  0.85309972 0.65768847],0.101,55.34077334403992
2195,[0.79829846 0.05314607 0.14865397],0.021,64.69583082199097
2196,[0.22987634 0.03578304 0.26030885],0.267,68.25074625015259
2197,[0.70603099 0.43642187 0.9956273 ],0.171,68.64331912994385
2198,[0.9272988  0.04071338 0.35664964],0.11900000000000001,58.59036421775818
2199,[0.70909761 0.48520019 0.49318133],0.193,68.38061881065369
2200,[0.84592186 0.86694782 0.12367582],0.399,71.20964431762695
2201,[0.09357869 0.86824186 0.18070297],0.075,56.92247271537781
2202,[0.16830402 0.50874262 0.27288227],0.063,55.91543412208557
2203,[0.89098299 0.58569594 0.58378214],0.335,69.46835470199585
2204,[0.97172469 0.52602334 0.57101665],0.34500000000000003,69.29757404327393
2205,[0.41645529 0.07676354 0.76857379],0.151,56.70126700401306
2206,[0.67697345 0.88743986 0.02593847],0.377,68.42417097091675
2207,[0.68137777 0.68067483 0.39431678],0.275,58.39240217208862
2208,[0.59039392 0.95130337 0.83732943],0.369,60.544780015945435
2209,[0.15378289 0.08099207 0.83104853],0.279,68.64777994155884
2210,[0.65960235 0.45405065 0.95560855],0.157,58.13409781455994
2211,[0.59426011 0.00572081 0.97018428],0.097,68.0691967010498
2212,[0.65623542 0.95097943 0.32503034],0.397,70.73455619812012
2213,[0.73161616 0.73436452 0.95781082],0.331,59.992881298065186
2214,[0.56921153 0.21131886 0.04866908],0.013000000000000001,53.90181064605713
2215,[0.64370531 0.32314272 0.05552504],0.077,66.36122822761536
2216,[0.07072238 0.95198383 0.38153198],0.14500000000000002,68.5369508266449
2217,[0.39889287 0.17795687 0.96546089],0.109,64.61373805999756
2218,[0.86560118 0.08911858 0.85270518],0.077,66.34954071044922
2219,[0.16294912 0.77954553 0.28503223],0.067,66.71367383003235
2220,[0.75263182 0.65409499 0.12062216],0.297,69.16173672676086
2221,[0.49088958 0.4323497  0.80669122],0.061,66.9249165058136
2222,[0.31012592 0.68499813 0.13131179],0.091,67.88281321525574
2223,[0.66558398 0.83211521 0.51285512],0.34500000000000003,69.27511429786682
2224,[0.48966738 0.88548486 0.47662479],0.28300000000000003,68.56023120880127
2225,[0.5631095  0.42306021 0.75680556],0.091,67.68637013435364
2226,[0.81107404 0.61389133 0.43427141],0.307,58.207818269729614
2227,[0.42605445 0.0403597  0.34186752],0.167,67.53440570831299
2228,[0.46356635 0.22418449 0.68651888],0.055,64.55821394920349
2229,[0.15507727 0.49532473 0.62981566],0.07300000000000001,67.6054425239563
2230,[0.52472599 0.29066912 0.43752251],0.005,62.50871706008911
2231,[0.90729797 0.47761069 0.14863969],0.28700000000000003,59.24062466621399
2232,[0.12779432 0.90297855 0.84189229],0.115,66.30671858787537
2233,[0.52314008 0.29544858 0.04771467],0.003,61.41259956359863
2234,[0.07653145 0.04501734 0.10764633],0.339,68.30272889137268
2235,[0.42495076 0.09441558 0.66112584],0.139,67.23123741149902
2236,[0.56853123 0.25333979 0.25494261],0.007,54.053152084350586
2237,[0.08176907 0.50344848 0.11395257],0.109,64.49918389320374
2238,[0.66164158 0.17949853 0.18225686],0.015,63.02998352050781
2239,[0.39299106 0.08321979 0.877126  ],0.159,65.89828515052795
2240,[0.29767076 0.5872272  0.45517332],0.039,65.75055170059204
2241,[0.67032407 0.62383571 0.26516153],0.241,68.22433972358704
2242,[0.96681643 0.87141414 0.18724277],0.399,71.91792845726013
2243,[0.18509826 0.74707654 0.60429713],0.065,65.67129111289978
2244,[0.87170214 0.10626398 0.53458796],0.08700000000000001,58.0681574344635
2245,[0.00583823 0.11661342 0.17177922],0.339,67.67101788520813
2246,[0.47716285 0.69184363 0.86914748],0.183,69.14694952964783
2247,[0.96590051 0.60190886 0.48691237],0.379,68.93195056915283
2248,[0.61855789 0.97400944 0.36086026],0.391,70.39915060997009
2249,[0.67386774 0.69033049 0.39514459],0.277,67.9411895275116
2250,[0.30268045 0.12502615 0.01384662],0.189,68.2669792175293
2251,[0.11191533 0.01580249 0.97093448],0.333,68.35171365737915
2252,[0.85909699 0.20918109 0.64888814],0.131,58.42337489128113
2253,[0.64980178 0.43578036 0.62631361],0.14100000000000001,68.42663931846619
2254,[0.79008891 0.19086281 0.30102162],0.085,68.36831307411194
2255,[0.46346702 0.47398777 0.02179121],0.063,56.041675090789795
2256,[0.16611427 0.15236376 0.70288804],0.23700000000000002,58.13348460197449
2257,[0.96396336 0.47148743 0.86015924],0.315,67.75334644317627
2258,[0.58528113 0.20128863 0.56965867],0.007,53.583619832992554
2259,[0.83392072 0.05084565 0.0078422 ],0.037000000000000005,56.0503203868866
2260,[0.63046971 0.713134   0.97990521],0.271,68.85478520393372
2261,[0.84870008 0.73712376 0.59608   ],0.389,69.288161277771
2262,[0.55435598 0.29074064 0.48768674],0.019000000000000003,56.350297927856445
2263,[0.48614492 0.59105876 0.611743  ],0.137,57.933178663253784
2264,[0.67873305 0.81674884 0.48809191],0.343,67.90517520904541
2265,[0.71435938 0.52831715 0.42216442],0.217,66.9707579612732
2266,[0.31587539 0.06343628 0.89325532],0.20700000000000002,56.933748960494995
2267,[0.41717384 0.47333654 0.49498241],0.043000000000000003,65.5063169002533
2268,[0.93905822 0.34674018 0.69780202],0.241,67.80115032196045
2269,[0.02079973 0.2879764  0.19225466],0.247,67.96214079856873
2270,[0.34387571 0.23205879 0.21976845],0.113,56.42079448699951
2271,[0.90916062 0.33912771 0.60234348],0.221,67.25858569145203
2272,[0.84255027 0.65698934 0.13118363],0.343,68.31531691551208
2273,[0.29341682 0.71142607 0.96021252],0.10300000000000001,64.81430149078369
2274,[0.83316285 0.67314137 0.73488939],0.34900000000000003,69.97681331634521
2275,[0.79605069 0.79981165 0.844887  ],0.395,70.5802788734436
2276,[0.62190126 0.28242185 0.74956586],0.051000000000000004,54.58006286621094
2277,[0.66712031 0.12903392 0.19954096],0.005,61.74028396606445
2278,[0.60580612 0.10083608 0.41614145],0.047,66.6629889011383
2279,[0.99386701 0.30362029 0.20949429],0.243,66.62396287918091
2280,[0.04704503 0.01804824 0.88127869],0.365,68.63979578018188
2281,[0.35707365 0.15854808 0.82829672],0.139,66.99647903442383
2282,[0.89454633 0.03189011 0.06365937],0.083,67.10047698020935
2283,[0.43065832 0.61758712 0.12070824],0.11900000000000001,58.051769733428955
2284,[0.2241108  0.25778239 0.34044623],0.159,67.01771712303162
2285,[0.35527055 0.04659908 0.87808475],0.195,69.51654767990112
2286,[0.26751116 0.15111967 0.69041974],0.189,68.50083351135254
2287,[0.51543462 0.66951932 0.70669661],0.191,69.06743311882019
2288,[0.92672449 0.43781896 0.4573118 ],0.277,67.76031446456909
2289,[0.84168002 0.11086499 0.10590521],0.07100000000000001,66.50229930877686
2290,[0.61063019 0.78220972 0.94778689],0.295,69.64037942886353
2291,[0.82369129 0.04189132 0.10542421],0.027000000000000003,63.499481439590454
2292,[0.62998589 0.87093871 0.91137229],0.34900000000000003,70.71715331077576
2293,[0.15704033 0.29208934 0.44168683],0.17500000000000002,58.29963231086731
2294,[0.50594275 0.73259654 0.09930453],0.213,57.24748373031616
2295,[0.64715463 0.33458143 0.13780059],0.085,67.86558389663696
2296,[0.8486789  0.43910094 0.41590681],0.23900000000000002,66.98657989501953
2297,[0.76910823 0.24527409 0.80948453],0.107,56.43841743469238
2298,[0.34134811 0.50502693 0.08523764],0.017,64.65700149536133
2299,[0.37246782 0.75489382 0.36077484],0.159,67.60521101951599
2300,[0.66505888 0.15155259 0.7538207 ],0.007,54.3560848236084
2301,[0.42175909 0.22813699 0.80210458],0.07300000000000001,67.60184288024902
2302,[0.41344539 0.4092965  0.45892997],0.009000000000000001,62.99737882614136
2303,[0.85247471 0.79466302 0.36190633],0.399,71.65104722976685
2304,[0.02975672 0.14552461 0.0099176 ],0.315,67.52252531051636
